,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
220,CatBoost Regressor Tuned,0.8771098830714977,0.8324613817134361,2.0,1300.0,0.1
221,CatBoost Regressor Tuned,0.42589990636575836,0.6473973603636556,2.0,1350.0,0.001
222,CatBoost Regressor Tuned,0.6255269881487843,0.8465845203607267,2.0,1350.0,0.005
223,CatBoost Regressor Tuned,0.6450703042073209,0.8562896692872219,2.0,1350.0,0.007
224,CatBoost Regressor Tuned,0.6705935819831861,0.861328694983636,2.0,1350.0,0.01
225,CatBoost Regressor Tuned,0.725774535286503,0.8653534703946792,2.0,1350.0,0.02
226,CatBoost Regressor Tuned,0.7633226683633754,0.8604899232248531,2.0,1350.0,0.03
227,CatBoost Regressor Tuned,0.7899676239379521,0.8592757504467015,2.0,1350.0,0.04
228,CatBoost Regressor Tuned,0.8124711573404154,0.8538260027100915,2.0,1350.0,0.05
229,CatBoost Regressor Tuned,0.8452884608391644,0.8479336838851993,2.0,1350.0,0.07
230,CatBoost Regressor Tuned,0.8806841278313388,0.8308665587036799,2.0,1350.0,0.1
231,CatBoost Regressor Tuned,0.43253434312209693,0.6552696189352287,2.0,1400.0,0.001
232,CatBoost Regressor Tuned,0.6274325840458335,0.8473081878329616,2.0,1400.0,0.005
233,CatBoost Regressor Tuned,0.6478027745313015,0.8573348420867699,2.0,1400.0,0.007
234,CatBoost Regressor Tuned,0.6735148115085652,0.8625827400069714,2.0,1400.0,0.01
235,CatBoost Regressor Tuned,0.7287449139441082,0.8637619580568454,2.0,1400.0,0.02
236,CatBoost Regressor Tuned,0.7667590536853567,0.8611115483526555,2.0,1400.0,0.03
237,CatBoost Regressor Tuned,0.7933989745601949,0.8578501708665098,2.0,1400.0,0.04
238,CatBoost Regressor Tuned,0.816610060964756,0.8528675945645284,2.0,1400.0,0.05
239,CatBoost Regressor Tuned,0.849062669212794,0.846242543327131,2.0,1400.0,0.07
240,CatBoost Regressor Tuned,0.884125111364611,0.8290402221423322,2.0,1400.0,0.1
241,CatBoost Regressor Tuned,0.4388483324519665,0.6628189499638758,2.0,1450.0,0.001
242,CatBoost Regressor Tuned,0.6293723254226453,0.848239293349039,2.0,1450.0,0.005
243,CatBoost Regressor Tuned,0.6506906867216559,0.85843553412989,2.0,1450.0,0.007
244,CatBoost Regressor Tuned,0.6757923257311311,0.8633289749344822,2.0,1450.0,0.01
245,CatBoost Regressor Tuned,0.7312771593362738,0.863220991861841,2.0,1450.0,0.02
246,CatBoost Regressor Tuned,0.7704307050954398,0.8615319615742922,2.0,1450.0,0.03
247,CatBoost Regressor Tuned,0.7969915327141641,0.85661487932066,2.0,1450.0,0.04
248,CatBoost Regressor Tuned,0.820312265768476,0.8509553657189324,2.0,1450.0,0.05
249,CatBoost Regressor Tuned,0.8520868725106012,0.8461304285567206,2.0,1450.0,0.07
250,CatBoost Regressor Tuned,0.8867885359371699,0.8290156358091763,2.0,1450.0,0.1
251,CatBoost Regressor Tuned,0.44502791407808695,0.6700515084007536,2.0,1500.0,0.001
252,CatBoost Regressor Tuned,0.6313698943808215,0.8490640492094648,2.0,1500.0,0.005
253,CatBoost Regressor Tuned,0.6530802804913238,0.859279313773033,2.0,1500.0,0.007
254,CatBoost Regressor Tuned,0.6780035467603034,0.8640388474880301,2.0,1500.0,0.01
255,CatBoost Regressor Tuned,0.7341637860317567,0.8635715125023564,2.0,1500.0,0.02
256,CatBoost Regressor Tuned,0.7738150530992527,0.8615625934288815,2.0,1500.0,0.03
257,CatBoost Regressor Tuned,0.8005613988584235,0.856300357933215,2.0,1500.0,0.04
258,CatBoost Regressor Tuned,0.8236624699372284,0.8495282200469485,2.0,1500.0,0.05
259,CatBoost Regressor Tuned,0.8549971662182554,0.8443981423126623,2.0,1500.0,0.07
260,CatBoost Regressor Tuned,0.8894594520224107,0.8260191317464758,2.0,1500.0,0.1
261,CatBoost Regressor Tuned,0.450795482434282,0.6773107273041246,2.0,1550.0,0.001
262,CatBoost Regressor Tuned,0.6329605080482599,0.849407229957634,2.0,1550.0,0.005
263,CatBoost Regressor Tuned,0.6557528238445793,0.8600055639321842,2.0,1550.0,0.007
264,CatBoost Regressor Tuned,0.6801647532510744,0.86441440226312,2.0,1550.0,0.01
