,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate,Score Difference
177,CatBoost Regressor Tuned,0.8520868725106012,0.8461304285567206,2.0,1450.0,0.07,0.005956443953880619
178,CatBoost Regressor Tuned,0.8610171889560743,0.846124213541435,2.0,1100.0,0.1,0.014892975414639298
179,CatBoost Regressor Tuned,0.9612416997291906,0.8459891761461923,8.0,1400.0,0.02,0.11525252358299831
180,CatBoost Regressor Tuned,0.950306773280271,0.8458150392942281,6.0,1300.0,0.03,0.10449173398604295
181,CatBoost Regressor Tuned,0.870223391908806,0.845673212424848,3.0,1350.0,0.04,0.02455017948395799
182,CatBoost Regressor Tuned,0.8842599118288627,0.845662884945593,3.0,1250.0,0.05,0.0385970268832696
183,CatBoost Regressor Tuned,0.9076482154262864,0.8455535533069635,4.0,1600.0,0.03,0.06209466211932291
184,CatBoost Regressor Tuned,0.8808830082717024,0.8455499614504971,3.0,1200.0,0.05,0.035333046821205305
185,CatBoost Regressor Tuned,0.9001065734596269,0.845257788455059,4.0,1100.0,0.04,0.05484878500456791
186,CatBoost Regressor Tuned,0.9334986031603788,0.8452116618021068,5.0,1450.0,0.03,0.08828694135827198
187,CatBoost Regressor Tuned,0.9252595128048924,0.8451272410560045,5.0,2000.0,0.02,0.08013227174888793
188,CatBoost Regressor Tuned,0.9738060132532486,0.8450455217437619,8.0,1150.0,0.03,0.12876049150948665
189,CatBoost Regressor Tuned,0.9360162891800096,0.8450163759997616,5.0,1100.0,0.04,0.09099991318024792
190,CatBoost Regressor Tuned,0.9610890445548336,0.8448409419616532,9.0,1150.0,0.02,0.11624810259318041
191,CatBoost Regressor Tuned,0.9030319148248512,0.8447493534105145,3.0,1100.0,0.07,0.05828256141433674
192,CatBoost Regressor Tuned,0.8793527068945564,0.8446560847797859,3.0,2000.0,0.03,0.034696622114770426
193,CatBoost Regressor Tuned,0.963679338906479,0.8444295156752133,8.0,1450.0,0.02,0.11924982323126576
